"","Var","N","RhoRef","RhoEst","k","Theta","Contador","SMAUP","Smaup_New","Rechazos"
"419","SAR0_0.9",30,0.9,0.895250485946,568,0.631111111111,30,0.0808573551166,0.0392359462294043,0
"420","SAR1_0.9",30,0.9,0.90056649449,844,0.937777777778,30,0.151659293751,0.00795682546229476,0
"421","SAR0_0.9",30,0.9,0.920339282939,670,0.744444444444,30,0.10252817734,0.0222579216446311,0
"422","SAR1_0.9",30,0.9,0.867457040661,152,0.168888888889,30,0.0452721836121,0.222609214705495,0
"423","SAR0_0.9",30,0.9,0.889771968762,224,0.248888888889,30,0.0412041938685,0.159585460461942,0
"424","SAR1_0.9",30,0.9,0.898453764667,208,0.231111111111,30,0.039955886607,0.164014454579142,0
"425","SAR0_0.9",30,0.9,0.885293233859,590,0.655555555556,30,0.0862373593772,0.0353276472165185,0
"426","SAR1_0.9",30,0.9,0.878353018633,512,0.568888888889,30,0.0717770707913,0.053104862288548,0
"427","SAR0_0.9",30,0.9,0.891353683437,512,0.568888888889,30,0.0705681079117,0.0521688684557704,0
"428","SAR1_0.9",30,0.9,0.894899632073,566,0.628888888889,30,0.0804800569258,0.0396570765839735,0
"429","SAR0_0.9",30,0.9,0.911116889517,690,0.766666666667,30,0.108202176923,0.0200047127140194,0
"430","SAR1_0.9",30,0.9,0.878279502987,266,0.295555555556,30,0.0439922483763,0.143662313557931,0
"431","SAR0_0.9",30,0.9,0.870608920774,698,0.775555555556,30,0.112336057138,0.0195038941686113,0
"432","SAR1_0.9",30,0.9,0.890990047674,144,0.16,30,0.0426821561758,0.214354626815909,0
"433","SAR0_0.9",30,0.9,0.865328869728,792,0.88,30,0.137327321101,0.0110676639260203,0
"434","SAR1_0.9",30,0.9,0.886128071806,524,0.582222222222,30,0.073189298443,0.0495380265713006,0
"435","SAR0_0.9",30,0.9,0.894283289958,234,0.26,30,0.0409180862455,0.15246157663952,0
"436","SAR1_0.9",30,0.9,0.915638483102,468,0.52,30,0.0609414357895,0.0616621323354949,0
"437","SAR0_0.9",30,0.9,0.901091837392,640,0.711111111111,30,0.0963348892815,0.0266055782614485,0
"438","SAR1_0.9",30,0.9,0.877891763545,634,0.704444444444,30,0.0964978879684,0.0279857052351579,0
"439","SAR0_0.9",30,0.9,0.88901902265,694,0.771111111111,30,0.110386353501,0.0197794622317381,0
"440","SAR1_0.9",30,0.9,0.889864593234,682,0.757777777778,30,0.10730102571,0.021181469130764,0
